10176,0,0,729,0
17705,0,0,1458,0
12157,0,0,2187,0
12088,0,0,2916,0
3662,1,1,2969,0
5257,16,10,3129,0
8474,16,10,3858,0
15019,16,10,4587,0
16697,16,10,5316,0
20980,97,86,6037,0
19970,177,164,6186,0
8489,177,164,6915,0
12138,177,164,7644,0
21050,241,222,7808,0
11875,255,233,7955,0
7439,255,233,8684,0
299,285,262,8849,0
1097,285,262,9578,0
6086,285,262,10307,0
11841,285,262,11036,0
3882,285,262,11765,0
13250,304,281,11904,0
19612,340,313,12071,0
6059,340,313,12800,0
3277,342,315,12854,0
310,348,319,13579,0
1303,349,320,13652,0
2846,349,320,14381,0
14569,465,433,15080,0
3500,466,434,15131,0
20049,528,492,15302,0
17026,528,492,16031,0
2968,528,492,16760,0
16253,581,535,17476,0
13115,587,540,18158,0
1073,587,540,18887,0
17385,588,540,19615,0
5296,588,540,20344,0
15679,591,541,20487,0
7852,592,542,20541,0
15017,592,542,21270,0
6992,599,547,21386,0
9056,607,555,21448,0
18863,658,606,21620,0
9290,658,606,22349,0
21747,697,637,23055,0
21494,844,778,23290,0
19503,995,924,23993,0
14495,997,924,24720,0
6897,998,925,24808,0
7868,999,926,24901,0
7103,999,926,25630,0
10971,1004,928,26343,0
599,1005,928,27071,0
7688,1005,928,27800,0
19929,1047,968,28398,0
1362,1066,981,29092,0
17376,1066,981,29821,0
1399,1066,981,30550,0
21239,1115,1020,30741,0
14516,1116,1020,31469,0
2639,1116,1020,32198,0
1825,1116,1020,32927,0
2509,1116,1020,33656,0
14346,1117,1020,34384,0
5133,1117,1020,35113,0
15722,1123,1021,35824,0
1853,1123,1021,36553,0
19278,1167,1062,37253,0
10444,1167,1062,37982,0
10248,1167,1062,38711,0
15108,1179,1070,39378,0
236,1180,1070,40106,0
11976,1180,1070,40835,0
20376,1192,1079,41541,0
8837,1195,1081,41673,0
2990,1203,1088,41766,0
20194,1257,1138,41956,0
11136,1257,1138,42685,0
14337,1257,1138,43414,0
4892,1257,1138,44143,0
7760,1257,1138,44872,0
21891,1388,1264,45018,0
19870,1417,1288,45120,0
241,1417,1288,45849,0
21215,1431,1298,46548,0
2972,1431,1298,47277,0
7935,1431,1298,48006,0
10543,1442,1307,48715,0
4804,1444,1308,48838,0
9481,1447,1311,49010,0
19845,1461,1323,49690,0
16429,1505,1365,49876,0
18223,1510,1368,50002,0
4399,1510,1368,50731,0
18891,1554,1410,50922,0
5789,1559,1412,51034,0
16088,1559,1412,51763,0
