4393,2,1
3514,0,0
642,0,0
4805,0,0
13534,7,3
5352,1,0
18778,11,5
3372,0,0
8951,1,1
19461,15,10
17018,0,0
13776,0,0
5835,0,0
4245,1,1
13058,0,0
14803,1,0
9953,2,0
10868,1,1
19891,11,10
16043,0,0
15675,0,0
2356,4,4
4555,0,0
20208,5,2
10518,0,0
6869,0,0
1515,0,0
11523,0,0
17026,0,0
20575,8,8
11049,0,0
1409,0,0
6925,6,4
4305,2,1
9790,3,2
6347,0,0
18323,1,1
13589,0,0
3164,0,0
16732,0,0
16390,0,0
3604,5,4
20754,48,46
11723,0,0
9056,6,4
15791,0,0
6304,3,2
12039,0,0
3160,2,0
19929,25,17
6706,1,0
8814,0,0
21446,47,43
13916,1,1
4155,0,0
3330,1,0
9242,3,2
17414,0,0
21933,35,31
16561,0,0
17455,0,0
2190,0,0
3262,3,1
3973,3,3
10391,0,0
15579,0,0
1738,0,0
10649,2,0
8218,0,0
9305,3,0
5921,5,5
2182,0,0
12893,0,0
18743,15,12
12910,3,0
1036,0,0
7358,0,0
2664,0,0
912,4,3
3524,0,0
15623,6,3
15935,0,0
21661,41,41
3076,0,0
3222,0,0
20295,5,2
10627,0,0
19534,7,4
10869,0,0
15259,8,4
4134,3,0
16159,0,0
154,2,2
6003,0,0
16064,0,0
11887,0,0
4864,0,0
20802,16,16
3421,0,0
7162,0,0
10904,0,0
19262,5,1
8306,0,0
1939,0,0
11855,0,0
20088,4,1
18055,0,0
9625,0,0
6727,0,0
2948,0,0
11340,0,0
19604,12,10
13898,5,2
9548,0,0
14962,0,0
360,3,1
3715,0,0
11224,2,1
19664,15,10
12769,0,0
15958,0,0
16706,0,0
7564,2,0
11692,0,0
4185,0,0
13815,0,0
15625,3,1
15664,0,0
21959,20,13
9329,4,2
15644,0,0
6680,0,0
5429,0,0
2097,0,0
10968,2,0
7888,1,1
13729,0,0
15122,0,0
12337,3,1
18745,8,1
18654,39,36
5646,0,0
5278,0,0
21778,8,8
17320,0,0
18630,12,6
3075,0,0
16321,0,0
8251,0,0
784,4,1
7109,0,0
20478,5,4
13449,0,0
21574,33,29
7501,0,0
687,4,1
1346,0,0
7392,0,0
21404,8,7
