4393,30,25
3514,0,0
642,0,0
4805,0,0
13534,60,60
5352,27,17
18778,3117,3099
3372,0,0
8951,19,0
19461,331,314
17018,0,0
13776,0,0
5835,0,0
4245,39,23
13058,0,0
14803,21,9
9953,22,21
10868,22,13
19891,7039,7012
16043,0,0
15675,0,0
2356,163,159
4555,0,0
20208,583,549
10518,0,0
6869,0,0
1515,0,0
11523,0,0
17026,0,0
20575,529,507
11049,0,0
1409,0,0
6925,34,22
4305,45,16
9790,84,65
6347,0,0
18323,80,69
13589,0,0
3164,0,0
16732,0,0
16390,0,0
3604,142,124
20754,439,430
11723,0,0
9056,85,81
15791,0,0
6304,2735,2705
12039,0,0
3160,7,0
19929,1090,1059
6706,8,3
8814,0,0
21446,404,381
13916,29,28
4155,0,0
3330,11,8
9242,12,11
17414,0,0
21933,1089,1053
16561,0,0
17455,0,0
2190,0,0
3262,92,86
3973,43,19
10391,0,0
15579,0,0
1738,0,0
10649,33,30
8218,0,0
9305,86,47
5921,43,22
2182,0,0
12893,0,0
18743,466,449
12910,498,467
1036,0,0
7358,0,0
2664,0,0
912,39,21
3524,0,0
15623,299,291
15935,0,0
21661,1663,1644
3076,0,0
3222,0,0
20295,1572,1547
10627,0,0
19534,3294,3283
10869,0,0
15259,67,62
4134,357,340
16159,0,0
154,6,3
6003,0,0
16064,0,0
11887,0,0
4864,0,0
20802,1271,1257
3421,0,0
7162,0,0
10904,0,0
19262,842,823
8306,0,0
1939,0,0
11855,0,0
20088,581,546
18055,0,0
9625,0,0
6727,0,0
2948,0,0
11340,0,0
19604,1981,1961
13898,82,75
9548,0,0
14962,0,0
360,37,13
3715,0,0
11224,17,5
19664,322,319
12769,0,0
15958,0,0
16706,0,0
7564,25,15
11692,0,0
4185,0,0
13815,0,0
15625,1065,1033
15664,0,0
21959,217,167
9329,26,3
15644,0,0
6680,0,0
5429,0,0
2097,0,0
10968,1208,1206
7888,32,28
13729,0,0
15122,0,0
12337,47,20
18745,1115,1086
18654,3251,3244
5646,0,0
5278,0,0
21778,529,507
17320,0,0
18630,87,38
3075,0,0
16321,0,0
8251,0,0
784,117,107
7109,0,0
20478,1171,1169
13449,0,0
21574,673,634
7501,0,0
687,318,299
1346,0,0
7392,0,0
21404,936,923
9787,0,0
19732,1331,1315
17591,0,0
2655,0,0
2885,41,41
2831,422,403
5439,194,184
16372,141,131
16731,0,0
12385,590,563
9466,57,42
8120,1584,1574
8096,0,0
721,291,280
10406,0,0
17374,67,55
11526,21,16
11213,33,23
9626,0,0
13893,0,0
12140,27,15
9609,0,0
4714,0,0
7073,0,0
7528,0,0
5707,0,0
5869,0,0
2087,40,29
6510,0,0
1931,0,0
11452,30,15
1124,0,0
3248,0,0
20121,429,412
2307,0,0
14794,0,0
18810,208,194
1652,0,0
5029,31,13
18170,0,0
16921,77,61
6593,0,0
2401,0,0
8484,40,29
5408,1222,1197
12698,0,0
20309,9709,9697
11668,63,56
17287,23,16
15108,51,49
5755,0,0
1719,0,0
20777,281,246
13541,0,0
21262,1029,1009
12048,0,0
10823,0,0
5849,12,12
3728,2040,2010
15981,0,0
10157,0,0
5844,0,0
8891,55,34
6687,0,0
15248,7,1
21996,700,643
3615,303,271
2610,34,29
21614,555,528
4432,0,0
1374,0,0
3287,6,2
13425,27,21
20573,487,476
17135,0,0
3806,1722,1699
19907,484,461
6252,0,0
5786,0,0
19137,973,967
2871,0,0
21841,2507,2502
10920,0,0
21951,10498,10462
